OriginName,DestinationName,RecordedAtTime,VehicleLocation_Latitude,VehicleLocation_Longitude
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:03:31,40.668002,-73.729348
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:13:39,40.703947,-73.793967
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:23:49,40.680046,-73.762418
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:33:50,40.702446,-73.800044
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:33:48,40.675937,-73.740112
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:43:19,40.688266,-73.776609
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:43:11,40.665609,-73.735288
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:53:07,40.704376,-73.792979
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:53:22,40.676688,-73.742352
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 00:53:20,40.665609,-73.735288
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 01:03:17,40.68014,-73.754132
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 01:13:24,40.666833,-73.729723
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 01:22:54,40.70388,-73.794124
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 01:31:58,40.683794,-73.769916
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:03:58,40.690409,-73.778357
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:13:33,40.67829,-73.747115
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:23:44,40.697058,-73.784274
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:22:06,40.665623,-73.732236
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:33:50,40.680105,-73.753725
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:43:52,40.665613,-73.734645
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:43:53,40.703947,-73.793967
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 04:53:58,40.679897,-73.762102
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:03:24,40.665619,-73.734538
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:03:46,40.704068,-73.793713
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:03:28,40.675231,-73.738012
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:13:49,40.679719,-73.756632
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:13:33,40.665869,-73.729914
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:23:39,40.665619,-73.73443
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:23:54,40.674079,-73.729628
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:33:47,40.679535,-73.761379
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:33:59,40.665605,-73.734966
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:43:50,40.674098,-73.727687
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 05:53:37,40.703038,-73.79177
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:13:44,40.670459,-73.728463
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:13:33,40.70238,-73.800315
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:13:23,40.665619,-73.734538
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:23:41,40.688551,-73.776894
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:23:54,40.665619,-73.734538
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:23:53,40.702416,-73.800179
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:33:48,40.677688,-73.745252
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:33:49,40.691825,-73.77942
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:33:27,40.665608,-73.735181
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:43:53,40.665608,-73.735181
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:44:16,40.680107,-73.75375
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 06:44:04,40.702799,-73.798068
