OriginName,DestinationName,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:03:34,40.869763,-73.867221
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:03:30,40.822127,-73.858291
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:03:41,40.868462,-73.867264
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:13:30,40.887686,-73.86052
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:13:41,40.845038,-73.866052
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:13:33,40.868462,-73.867264
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:23:53,40.903115,-73.849699
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:23:33,40.861158,-73.86686
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:23:53,40.822395,-73.858357
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:33:33,40.885424,-73.861787
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:33:51,40.844994,-73.866036
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:43:26,40.89877,-73.84824
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:43:15,40.861235,-73.866833
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 00:53:18,40.888707,-73.859971
